name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"København, Hovedstaden, Danmark",2014-01-01,4,2.9,3.6,0.9,-2.6,-0.7,2,89.59,0.17,,4.17,,,,43.2,31.1,160.6,1010.7,61.2,8,,,,,2014-01-01T08:38:54,2014-01-01T15:47:50,0,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"06180099999,02615099999,06174099999,06170099999,06188099999,02635099999"
"København, Hovedstaden, Danmark",2014-01-02,5.8,3.8,4.6,2.6,-1.6,-0.2,3.3,91.93,5.48,,54.17,,,,46.5,33.6,152.3,1003.3,70.7,7.9,,,,,2014-01-02T08:38:38,2014-01-02T15:49:04,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06180099999,02615099999,06174099999,06170099999,06188099999,02635099999"
"København, Hovedstaden, Danmark",2014-01-03,6.9,4.9,6,3.4,1.4,2.3,5.2,94.23,1.02,,25,,,,44.6,29.3,183.8,1003.4,71.2,11.5,,,,,2014-01-03T08:38:17,2014-01-03T15:50:20,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06180099999,02615099999,06174099999,06170099999,06188099999,02635099999"
"København, Hovedstaden, Danmark",2014-01-04,7,4.9,5.8,4.2,0.6,1.8,4,88.2,0.99,,12.5,,,,47.7,30.5,195,1003.5,46.7,14,,,,,2014-01-04T08:37:53,2014-01-04T15:51:40,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"06180099999,02615099999,06174099999,06170099999,06188099999,02635099999"
"København, Hovedstaden, Danmark",2014-01-05,6,3.3,5.3,3.6,-0.2,1.7,4.2,92.4,0.47,,25,,,,41.5,26.4,176.1,1002,55,10.5,,,,,2014-01-05T08:37:25,2014-01-05T15:53:03,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"06180099999,02615099999,06174099999,06170099999,06188099999,02635099999"
"København, Hovedstaden, Danmark",2014-01-06,6.6,3.2,4.8,3.5,-1.5,0.5,4,94.31,3.5,,25,,,,46,34.4,187.3,1004.8,63.3,11.7,,,,,2014-01-06T08:36:53,2014-01-06T15:54:30,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06180099999,02615099999,06174099999,06170099999,02635099999,06188099999"
"København, Hovedstaden, Danmark",2014-01-07,9,6.4,7.8,5.6,2.6,4.3,6.4,91.3,2.36,,41.67,,,,46.9,27.7,210.6,1005.2,75.1,11.7,,,,,2014-01-07T08:36:17,2014-01-07T15:55:59,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06180099999,02615099999,06174099999,06170099999,06188099999,02635099999"
"København, Hovedstaden, Danmark",2014-01-08,8.1,7,7.4,4.8,2.9,4,6,90.95,0.51,,29.17,,,,45.4,31.1,225.2,1008.2,74.3,11,,,,,2014-01-08T08:35:38,2014-01-08T15:57:31,0.27,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06180099999,02615099999,06174099999,06170099999,06188099999,02635099999"
"København, Hovedstaden, Danmark",2014-01-09,8.2,5.1,6.6,4.8,-1,2.6,5.6,92.91,11.41,,54.17,,,,63.9,47.1,210.1,998.7,83.3,9,,,,,2014-01-09T08:34:54,2014-01-09T15:59:05,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06180099999,02615099999,06174099999,06170099999,06188099999,02635099999"
"København, Hovedstaden, Danmark",2014-01-10,6.9,4.2,5.9,3,-2.7,1.3,4.3,89.66,5.28,,83.33,,,,73.5,55.1,274.7,1000.1,83.5,11.5,,,,,2014-01-10T08:34:07,2014-01-10T16:00:43,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06180099999,02615099999,06174099999,06170099999,06188099999,02635099999"
